NumFloors,YearBuilt,YearAlter1,YearAlter2
10,1900,1983,0
5,1920,0,0
6,1925,1987,0
5,1920,2008,0
5,1920,1984,0
6,1920,0,0
5,1920,0,0
5,1920,2005,0
4,1920,2006,0
6,2000,0,0
13,1931,1979,0
8,1920,1983,2006
6,1915,0,0
6,1920,0,0
6,1920,0,0
6,1915,1979,0
5,1910,0,0
5,1920,0,0
6,1910,1999,2005
5,1910,1997,2004
5,1910,0,0
5,1915,2009,0
4,1915,0,0
4,1915,0,0
4,1915,2006,0
2,1920,0,0
2,1920,0,0
23,1930,0,0
6,1915,0,0
8,1910,2005,0
6,1910,2000,2009
4,1925,0,0
5,1930,0,0
3,1926,1982,0
5,1930,0,0
6.5,1920,1950,0
2,1915,2010,0
5,1920,2008,0
5,1920,1986,0
5,1915,0,0
6,1915,0,0
5,1920,0,0
7,1920,0,0
7,1930,0,0
6,1920,2006,0
6,1857,0,0
5,1930,1988,0
5,1930,1988,0
6,1900,1980,0
5,1920,2009,0
5,1920,2007,0
5.5,1920,2003,0
7,1920,1999,2008
5,1920,2007,2009
5,2003,0,0
2,1940,1998,0
7,1895,0,0
5,1915,0,0
5.5,1920,0,0
6,1930,1998,0
6,1930,0,0
5,1915,1999,2006
5,1930,1983,0
5,1915,1988,0
5,1915,2000,0
3,1920,1985,0
5,1915,1964,0
3,1940,1988,0
5,1915,0,0
6,1915,0,0
5,1915,0,0
6,1920,0,0
5,1880,1987,0
5,1915,0,0
7,2002,0,0
6,1920,0,0
7,1915,2006,0
5,1915,2004,0
7,1920,1985,0
18,1929,0,0
6,1915,0,0
5,1915,0,0
2,1920,0,0
5,1915,0,0
5,1920,1980,0
5,1935,0,0
6,1938,0,0
6,1915,2006,0
18,1900,0,0
8,2009,0,0
20,2010,0,0
9,2013,0,0
5,1915,1989,0
5,1915,1989,0
5,1915,1984,0
5.5,1915,1964,0
5,1930,0,0
5,1920,0,0
5,1915,1986,0
5,1915,0,0
3,1905,0,0
18,1910,1989,0
19,1910,1990,0
7,1915,1998,0
5,1915,0,0
5,1915,0,0
7,1915,0,0
53,1988,0,0
15,1954,1981,0
2,1941,1997,2006
2,1949,1983,0
2,1982,0,0
5,1910,0,0
5,1930,1957,1998
14,1900,0,0
5,1915,0,0
5,1915,0,0
5,1910,1980,2014
6,1915,1982,0
7,1910,2001,2001
15,1910,1960,2001
8.5,1910,0,0
7,1910,2001,0
32,1992,0,0
